message;severity;node;stamp;topics;location
"Could not convert rgb/depth msgs! Aborting rtabmap update...";"8";"/rtabmap/rtabmap";"516.556000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/CoreWrapper.cpp:CoreWrapper::commonDepthCallbackImpl:1031"
"TF of received image 0 at time 515.839000s is not set!";"8";"/rtabmap/rtabmap";"516.556000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/MsgConversion.cpp:convertRGBDMsgs:1217"
"Could not get transform from robot_footprint to camera_depth_optical_frame after 0.200000 seconds (for stamp=515.839000)! Error=\"canTransform: source_frame camera_depth_optical_frame does not exist.. canTransform returned after 0.202 timeout was 0.2.\".";"4";"/rtabmap/rtabmap";"516.556000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/MsgConversion.cpp:Transform rtabmap_ros::getTransform:1081"
"Could not convert rgb/depth msgs! Aborting rtabmap update...";"8";"/rtabmap/rtabmap";"512.066000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/CoreWrapper.cpp:CoreWrapper::commonDepthCallbackImpl:1031"
"TF of received image 0 at time 511.362000s is not set!";"8";"/rtabmap/rtabmap";"512.066000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/MsgConversion.cpp:convertRGBDMsgs:1217"
"Could not get transform from robot_footprint to camera_depth_optical_frame after 0.200000 seconds (for stamp=511.362000)! Error=\"canTransform: source_frame camera_depth_optical_frame does not exist.. canTransform returned after 0.2 timeout was 0.2.\".";"4";"/rtabmap/rtabmap";"512.066000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/MsgConversion.cpp:Transform rtabmap_ros::getTransform:1081"
"Could not convert rgb/depth msgs! Aborting rtabmap update...";"8";"/rtabmap/rtabmap";"510.556000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/CoreWrapper.cpp:CoreWrapper::commonDepthCallbackImpl:1031"
"TF of received image 0 at time 509.873000s is not set!";"8";"/rtabmap/rtabmap";"510.556000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/MsgConversion.cpp:convertRGBDMsgs:1217"
"Could not get transform from robot_footprint to camera_depth_optical_frame after 0.200000 seconds (for stamp=509.873000)! Error=\"canTransform: source_frame camera_depth_optical_frame does not exist.. canTransform returned after 0.202 timeout was 0.2.\".";"4";"/rtabmap/rtabmap";"510.556000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/MsgConversion.cpp:Transform rtabmap_ros::getTransform:1081"
"Could not convert rgb/depth msgs! Aborting rtabmap update...";"8";"/rtabmap/rtabmap";"506.511000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/CoreWrapper.cpp:CoreWrapper::commonDepthCallbackImpl:1031"
"TF of received image 0 at time 505.902000s is not set!";"8";"/rtabmap/rtabmap";"506.511000000";"/map,/rosout,/rtabmap/cloud_ground,/rtabmap/cloud_map,/rtabmap/cloud_obstacles,/rtabmap/global_path,/rtabmap/goal_out,/rtabmap/goal_reached,/rtabmap/info,/rtabmap/labels,/rtabmap/local_path,/rtabmap/mapData,/rtabmap/mapGraph,/rtabmap/mapPath,/rtabmap/move_base/cancel,/rtabmap/move_base/goal,/rtabmap/octomap_binary,/rtabmap/octomap_empty_space,/rtabmap/octomap_full,/rtabmap/octomap_grid,/rtabmap/octomap_ground,/rtabmap/octomap_obstacles,/rtabmap/octomap_occupied_space,/rtabmap/proj_map,/rtabmap/scan_map,/tf";"/tmp/binarydeb/ros-kinetic-rtabmap-ros-0.17.0/src/MsgConversion.cpp:convertRGBDMsgs:1217"
